industry_code,display_label,notes
TECHNOLOGY,Technology,"Software, internet, SaaS, cloud, electronics, digital platforms"
FINANCIAL_SERVICES,Financial Services,"Banking, payments, lending, insurance, wealth, capital markets, financial services"
HEALTHCARE_LIFE_SCIENCES,Healthcare & Life Sciences,"Healthcare providers, pharma, biotech, medtech, life sciences"
CONSULTING_PROFESSIONAL_SERVICES,Consulting & Professional Services,"Management consulting, accounting firms, agencies, B2B professional services"
EDUCATION,Education,"Schools, universities, edtech when primarily education services"
RETAIL_CONSUMER_GOODS,Retail & Consumer Goods,"Retailers, ecommerce retailers, CPG, apparel, consumer brands"
MANUFACTURING_AUTOMOTIVE,Manufacturing & Automotive,"Industrial manufacturing, machinery, materials, automakers, auto parts, EV manufacturers"
ENERGY_UTILITIES_NATURAL_RESOURCES,"Energy, Utilities & Natural Resources","Energy, oil/gas, renewables, utilities, agriculture, forestry, mining, natural resources"
GOVERNMENT_PUBLIC_SECTOR,Government & Public Sector,"Government agencies, public sector bodies, public services"
MEDIA_ENTERTAINMENT,Media & Entertainment,"Streaming, games, publishing, entertainment, sports media"
TELECOMMUNICATIONS,Telecommunications,"Telecom carriers, network operators, broadband"
TRANSPORTATION_LOGISTICS,Transportation & Logistics,"Transportation, shipping, logistics, delivery, mobility operators"
REAL_ESTATE_CONSTRUCTION,Real Estate & Construction,"Real estate, property, architecture, construction"
HOSPITALITY_FOOD_SERVICES,Hospitality & Food Services,"Hotels, restaurants, food service, travel hospitality"
NONPROFIT_SOCIAL_IMPACT,Nonprofit & Social Impact,"Nonprofits, NGOs, charities, foundations"
AEROSPACE_DEFENSE,Aerospace & Defense,"Aerospace, aviation defense contractors, defense tech"
LEGAL_SERVICES,Legal Services,"Law firms and legal service providers"
OTHER,Other,"Use only for verified companies that do not fit any listed category"
UNKNOWN,Unknown,"Internal only: use when you cannot verify the company industry"
