connector_name,source_count,active_count,pollable_count,validated_count,retained_live_jobs,jobs_created,avg_quality,avg_yield
greenhouse,2637,2234,2334,2319,115714,46193,0.78,0.34
workday,1025,525,752,651,85414,61659,0.58,0.30
lever,1180,888,935,929,43022,15301,0.71,0.29
official-company,5,1,5,5,35355,6655,0.33,0.54
ashby,1602,1451,1589,1589,29348,27830,0.86,0.36
company-site,28684,4512,8630,5492,29308,17761,0.28,0.10
icims,278,229,274,274,20930,14012,0.79,0.39
successfactors,151,74,119,95,7880,5524,0.46,0.23
recruitee,391,360,374,370,4781,2142,0.85,0.34
workable,269,218,250,243,4685,2528,0.78,0.31
smartrecruiters,155,122,153,152,2788,1200,0.81,0.28
taleo,74,21,40,30,1929,4208,0.32,0.17
rippling,74,65,73,72,1178,863,0.85,0.40
jobvite,64,59,63,63,972,764,0.85,0.33
teamtailor,17,15,17,16,83,80,0.80,0.33
